"type";"size";"time"
2;1000;0.001138
2;1000;0.001240
2;1000;0.001090
2;1000;0.001503
2;1000;0.001075
2;1000;0.001114
2;1000;0.001066
2;1000;0.001141
2;1000;0.001289
2;1000;0.001493
2;2000;0.004370
2;2000;0.004346
2;2000;0.005543
2;2000;0.006121
2;2000;0.004554
2;2000;0.004373
2;2000;0.004267
2;2000;0.004148
2;2000;0.004325
2;2000;0.004284
2;3000;0.009599
2;3000;0.009808
2;3000;0.009536
2;3000;0.010176
2;3000;0.011131
2;3000;0.010036
2;3000;0.009474
2;3000;0.009925
2;3000;0.009447
2;3000;0.009554
2;4000;0.017418
2;4000;0.018029
2;4000;0.016763
2;4000;0.016954
2;4000;0.018010
2;4000;0.018703
2;4000;0.017112
2;4000;0.017342
2;4000;0.017121
2;4000;0.017401
2;5000;0.027916
2;5000;0.027445
2;5000;0.027894
2;5000;0.027420
2;5000;0.027532
2;5000;0.027545
2;5000;0.028383
2;5000;0.027073
2;5000;0.028583
2;5000;0.027964
2;6000;0.039600
2;6000;0.038913
2;6000;0.038454
2;6000;0.039193
2;6000;0.039896
2;6000;0.038219
2;6000;0.039993
2;6000;0.038945
2;6000;0.039708
2;6000;0.039526
2;7000;0.053532
2;7000;0.054165
2;7000;0.054296
2;7000;0.052641
2;7000;0.054630
2;7000;0.052753
2;7000;0.052973
2;7000;0.055287
2;7000;0.056730
2;7000;0.057510
2;8000;0.073775
2;8000;0.070824
2;8000;0.069451
2;8000;0.070976
2;8000;0.071121
2;8000;0.069406
2;8000;0.069743
2;8000;0.070845
2;8000;0.069603
2;8000;0.069208
2;9000;0.087026
2;9000;0.088173
2;9000;0.087413
2;9000;0.089150
2;9000;0.087590
2;9000;0.089370
2;9000;0.087290
2;9000;0.091368
2;9000;0.088442
2;9000;0.091929
