"size";"naive";"better";"blas"
10;0.000008;0.000006;0.000035
10;0.000008;0.000006;0.000013
10;0.000008;0.000007;0.000015
10;0.000008;0.000007;0.000012
10;0.000043;0.000007;0.000012
10;0.000008;0.000007;0.000013
10;0.000008;0.000006;0.000013
10;0.000008;0.000006;0.000013
10;0.000009;0.000007;0.000014
10;0.000009;0.000008;0.000014
20;0.000229;0.000054;0.000111
20;0.000074;0.000055;0.000099
20;0.000075;0.000053;0.000102
20;0.000074;0.000054;0.000099
20;0.000074;0.000051;0.000087
20;0.000074;0.000052;0.000088
20;0.000073;0.000041;0.000052
20;0.000044;0.000028;0.000031
20;0.000032;0.000018;0.000032
20;0.000034;0.000017;0.000038
30;0.000144;0.000104;0.000176
30;0.000128;0.000059;0.000108
30;0.000127;0.000059;0.000118
30;0.000127;0.000059;0.000098
30;0.000127;0.000059;0.000099
30;0.000128;0.000059;0.000123
30;0.000127;0.000061;0.000099
30;0.000127;0.000059;0.000098
30;0.000127;0.000059;0.000098
30;0.000128;0.000066;0.000098
40;0.000685;0.000155;0.000358
40;0.000370;0.000160;0.000264
40;0.000197;0.000098;0.000162
40;0.000164;0.000081;0.000127
40;0.000164;0.000085;0.000139
40;0.000163;0.000082;0.000127
40;0.000164;0.000083;0.000126
40;0.000163;0.000081;0.000126
40;0.000170;0.000081;0.000126
40;0.000167;0.000081;0.000126
50;0.000768;0.000154;0.000262
50;0.000350;0.000329;0.000303
50;0.000413;0.000169;0.000246
50;0.000347;0.000170;0.000250
50;0.000339;0.000213;0.000338
50;0.000410;0.000197;0.000392
50;0.000402;0.000214;0.000284
50;0.000423;0.000356;0.000501
50;0.000451;0.000177;0.000245
50;0.000330;0.000154;0.000236
60;0.001327;0.000263;0.000444
60;0.000648;0.000440;0.000559
60;0.001155;0.000477;0.000700
60;0.000695;0.000262;0.000394
60;0.000590;0.000350;0.000433
60;0.000608;0.000257;0.000387
60;0.000590;0.000268;0.000412
60;0.000578;0.000254;0.000407
60;0.000666;0.000464;0.000784
60;0.000738;0.000357;0.000394
70;0.001955;0.000407;0.000678
70;0.000938;0.000548;0.001092
70;0.001023;0.000408;0.000661
70;0.000997;0.000404;0.000632
70;0.000995;0.000428;0.000602
70;0.000960;0.000722;0.000934
70;0.000951;0.000422;0.000652
70;0.001087;0.000431;0.001515
70;0.001193;0.000494;0.000620
70;0.000983;0.000432;0.000604
80;0.002786;0.000699;0.001525
80;0.001833;0.000635;0.000951
80;0.001433;0.000641;0.000978
80;0.001552;0.000602;0.000993
80;0.001473;0.000628;0.000924
80;0.001481;0.000695;0.001086
80;0.001562;0.000758;0.001934
80;0.001500;0.000626;0.001532
80;0.001549;0.000664;0.001025
80;0.001433;0.000601;0.000929
90;0.003774;0.000866;0.001355
90;0.002065;0.000853;0.001355
90;0.002098;0.000946;0.001270
90;0.002050;0.000852;0.001762
90;0.002707;0.000900;0.001405
90;0.002117;0.000871;0.001267
90;0.002061;0.000918;0.001391
90;0.002091;0.000902;0.001360
90;0.002105;0.000857;0.001335
90;0.002124;0.000873;0.001282
100;0.004893;0.001476;0.002464
100;0.002987;0.001215;0.001791
100;0.002876;0.001179;0.001829
100;0.003229;0.001195;0.001875
100;0.002920;0.001226;0.001808
100;0.002836;0.001182;0.001973
100;0.002809;0.001156;0.001798
100;0.002881;0.001144;0.001800
100;0.002838;0.001654;0.002115
100;0.002897;0.001248;0.001792
