"size";"naive";"better";"blas"
10;0.000019;0.000019;0.000023
10;0.000018;0.000019;0.000008
10;0.000019;0.000018;0.000008
10;0.000018;0.000018;0.000008
10;0.000020;0.000019;0.000009
10;0.000017;0.000018;0.000008
10;0.000019;0.000018;0.000009
10;0.000019;0.000018;0.000010
10;0.000020;0.000018;0.000009
10;0.000018;0.000018;0.000010
20;0.000274;0.000153;0.000070
20;0.000154;0.000142;0.000058
20;0.000154;0.000140;0.000052
20;0.000143;0.000150;0.000061
20;0.000151;0.000150;0.000060
20;0.000148;0.000153;0.000060
20;0.000143;0.000140;0.000063
20;0.000154;0.000142;0.000056
20;0.000137;0.000149;0.000063
20;0.000156;0.000154;0.000088
30;0.000323;0.000322;0.000137
30;0.000319;0.000233;0.000104
30;0.000302;0.000312;0.000114
30;0.000317;0.000307;0.000113
30;0.000234;0.000268;0.000120
30;0.000256;0.000169;0.000069
30;0.000175;0.000177;0.000090
30;0.000206;0.000189;0.000079
30;0.000262;0.000259;0.000101
30;0.000282;0.000258;0.000096
40;0.000912;0.000812;0.000224
40;0.000586;0.000588;0.000233
40;0.000626;0.000625;0.000230
40;0.000581;0.000556;0.000218
40;0.000314;0.000331;0.000129
40;0.000323;0.000309;0.000138
40;0.000338;0.000313;0.000202
40;0.000660;0.000608;0.000122
40;0.000302;0.000309;0.000121
40;0.000322;0.000303;0.000136
50;0.001149;0.001747;0.000517
50;0.000714;0.000618;0.000257
50;0.000822;0.001116;0.000238
50;0.000635;0.000729;0.000289
50;0.000613;0.000648;0.000229
50;0.000638;0.000584;0.000229
50;0.000629;0.000716;0.000397
50;0.001034;0.000595;0.000241
50;0.000595;0.000623;0.000228
50;0.000603;0.000627;0.000247
60;0.001823;0.001031;0.000442
60;0.001027;0.001091;0.000412
60;0.001051;0.001025;0.000409
60;0.001066;0.001079;0.000407
60;0.001048;0.001098;0.000403
60;0.002287;0.001584;0.000537
60;0.001118;0.001096;0.000393
60;0.001110;0.001056;0.000388
60;0.001027;0.001067;0.000390
60;0.001055;0.001702;0.000604
70;0.002837;0.001697;0.000745
70;0.001763;0.001657;0.000614
70;0.001656;0.001684;0.000625
70;0.001698;0.002931;0.001060
70;0.001766;0.001925;0.000695
70;0.001658;0.001634;0.000621
70;0.001671;0.001691;0.001082
70;0.001608;0.001822;0.000642
70;0.002238;0.001757;0.000633
70;0.001729;0.001645;0.000623
80;0.005198;0.002504;0.000967
80;0.002953;0.002446;0.000983
80;0.002575;0.003805;0.001047
80;0.002535;0.002628;0.001008
80;0.002467;0.002445;0.000930
80;0.002999;0.002568;0.000906
80;0.002518;0.002463;0.000989
80;0.002440;0.002638;0.000927
80;0.002432;0.002460;0.001120
80;0.002401;0.002620;0.000952
90;0.005055;0.003497;0.001793
90;0.005018;0.003654;0.001678
90;0.003512;0.005365;0.001560
90;0.003640;0.003606;0.001301
90;0.003529;0.003528;0.001351
90;0.003432;0.003582;0.001369
90;0.003550;0.003589;0.001269
90;0.003549;0.003571;0.001325
90;0.003548;0.003471;0.001283
90;0.003452;0.003640;0.001325
100;0.007167;0.005223;0.001972
100;0.005028;0.005071;0.002239
100;0.005172;0.004986;0.001782
100;0.004760;0.004892;0.001849
100;0.005135;0.004869;0.001767
100;0.004755;0.004958;0.001744
100;0.004784;0.005205;0.002548
100;0.005285;0.004932;0.001785
100;0.005018;0.004789;0.001744
100;0.004695;0.005081;0.001787
